"word","cnt","pos"
"強い",40,"adj"
"愛しい",33,"adj"
"優しい",27,"adj"
"crazy",24,"adj"
"悲しい",24,"adj"
"遠い",21,"adj"
"寂しい",21,"adj"
"弱い",19,"adj"
"白い",16,"adj"
"恋しい",16,"adj"
"冷たい",13,"adj"
"青い",11,"adj"
"幼い",11,"adj"
"赤い",10,"adj"
"深い",9,"adj"
"儚い",8,"adj"
"甘い",7,"adj"
"美しい",7,"adj"
"切ない",7,"adj"
"懐かしい",7,"adj"
